[jin] Timestamp: 2025-10-29 15:16:14.338428, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 15:16:14.486578, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 15:16:14.775854, Code: BTN_EAST, State: 1
[jin] Timestamp: 2025-10-29 15:16:15.128278, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 15:16:15.356319, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 15:16:15.661168, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 15:16:15.792642, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 15:16:15.995898, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 15:16:16.404763, Code: BTN_TR, State: 1
[jin] Timestamp: 2025-10-29 15:16:16.696814, Code: ABS_HAT0X, State: -1
[kota] Timestamp: 2025-10-29 15:16:16.714400, Code: BTN_SOUTH, State: 1
[jin] Timestamp: 2025-10-29 15:16:17.247966, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 15:16:17.569704, Code: ABS_HAT0X, State: -1
[kota] Timestamp: 2025-10-29 15:16:17.582672, Code: BTN_SOUTH, State: 1
[jin] Timestamp: 2025-10-29 15:16:18.030359, Code: BTN_TR, State: 1
[jin] Timestamp: 2025-10-29 15:16:18.402063, Code: ABS_HAT0X, State: -1
[kota] Timestamp: 2025-10-29 15:16:18.450257, Code: BTN_SOUTH, State: 1
[jin] Timestamp: 2025-10-29 15:16:19.158908, Code: BTN_TR, State: 1
[jin] Timestamp: 2025-10-29 15:16:19.477102, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 15:16:20.090653, Code: BTN_TR, State: 1
[jin] Timestamp: 2025-10-29 15:16:20.224182, Code: BTN_TR, State: 1
[kota] Timestamp: 2025-10-29 15:16:20.757755, Code: BTN_WEST, State: 1
[jin] Timestamp: 2025-10-29 15:16:21.064397, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 15:16:21.135654, Code: ABS_HAT0X, State: 1
[kota] Timestamp: 2025-10-29 15:16:21.598373, Code: BTN_WEST, State: 1
[jin] Timestamp: 2025-10-29 15:16:21.995674, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 15:16:22.065505, Code: ABS_HAT0X, State: 1
[kota] Timestamp: 2025-10-29 15:16:22.873791, Code: BTN_TR, State: 1
[jin] Timestamp: 2025-10-29 15:16:22.990859, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 15:16:23.057617, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 15:16:23.132728, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:16:23.541082, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 15:16:23.573053, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:16:23.647051, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 15:16:23.681025, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:16:23.746566, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 15:16:23.759205, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:16:23.855785, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:16:23.858781, Code: ABS_HAT0Y, State: 1
[kota] Timestamp: 2025-10-29 15:16:24.034233, Code: BTN_TR, State: 1
[jin] Timestamp: 2025-10-29 15:16:24.581627, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 15:16:24.657570, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 15:16:24.726034, Code: BTN_EAST, State: 1
[kota] Timestamp: 2025-10-29 15:16:24.945670, Code: BTN_WEST, State: 1
[jin] Timestamp: 2025-10-29 15:16:25.181989, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 15:16:25.214482, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:16:25.291944, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 15:16:25.301974, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:16:25.384391, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:16:25.400360, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 15:16:25.483998, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:16:25.515945, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 15:16:26.333962, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 15:16:26.405473, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 15:16:26.869988, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 15:16:26.931485, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 15:16:27.017451, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 15:16:27.064772, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 15:16:27.140026, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 15:16:27.176462, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 15:16:27.252928, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 15:16:27.311419, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 15:16:27.352926, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 15:16:28.020956, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 15:16:28.082476, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:16:28.122117, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 15:16:28.164129, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:16:28.217795, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 15:16:28.282107, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:16:28.547641, Code: ABS_HAT0X, State: -1
[kota] Timestamp: 2025-10-29 15:16:29.465903, Code: BTN_SOUTH, State: 1
[jin] Timestamp: 2025-10-29 15:16:30.058433, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 15:16:30.305503, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 15:16:30.375933, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 15:16:30.434423, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:16:30.952751, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 15:16:31.163557, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 15:16:31.385242, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 15:16:31.456734, Code: ABS_HAT0X, State: 1
[kota] Timestamp: 2025-10-29 15:16:31.481427, Code: BTN_WEST, State: 1
[jin] Timestamp: 2025-10-29 15:16:31.549149, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:16:31.880458, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 15:16:31.935465, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 15:16:32.009043, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 15:16:32.061506, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 15:16:32.075517, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:16:32.121512, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 15:16:32.170819, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:16:32.183787, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 15:16:32.189781, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 15:16:32.224762, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 15:16:32.251285, Code: BTN_NORTH, State: 1
[jin] Timestamp: 2025-10-29 15:16:32.311046, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 15:16:32.702594, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 15:16:32.925363, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 15:16:33.081027, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 15:16:33.085025, Code: ABS_HAT0X, State: -1
[jin] Timestamp: 2025-10-29 15:16:33.275069, Code: ABS_HAT0Y, State: 1
[jin] Timestamp: 2025-10-29 15:16:33.327582, Code: ABS_HAT0X, State: 1
[jin] Timestamp: 2025-10-29 15:16:33.406805, Code: BTN_NORTH, State: 1
