Timestamp: 2025-10-28 17:54:21.456184, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:54:21.571039, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:54:21.898959, Type: Absolute, Code: ABS_HAT0X, State: -1
Timestamp: 2025-10-28 17:54:22.267456, Type: Absolute, Code: ABS_HAT0Y, State: 1
Timestamp: 2025-10-28 17:54:22.305364, Type: Key, Code: BTN_EAST, State: 1
Timestamp: 2025-10-28 17:54:22.439343, Type: Key, Code: BTN_TL, State: 1
Timestamp: 2025-10-28 17:54:22.992538, Type: Key, Code: BTN_NORTH, State: 1
Timestamp: 2025-10-28 17:54:23.512285, Type: Key, Code: BTN_NORTH, State: 1
Timestamp: 2025-10-28 17:54:23.726594, Type: Absolute, Code: ABS_HAT0X, State: -1
Timestamp: 2025-10-28 17:54:23.759141, Type: Absolute, Code: ABS_HAT0Y, State: 1
Timestamp: 2025-10-28 17:54:24.045186, Type: Key, Code: BTN_NORTH, State: 1
Timestamp: 2025-10-28 17:54:24.188998, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:54:24.288102, Type: Key, Code: BTN_EAST, State: 1
Timestamp: 2025-10-28 17:54:25.222469, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:54:25.285405, Type: Absolute, Code: ABS_HAT0Y, State: 1
Timestamp: 2025-10-28 17:54:25.376931, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:54:25.438890, Type: Absolute, Code: ABS_HAT0Y, State: 1
Timestamp: 2025-10-28 17:54:25.454362, Type: Key, Code: BTN_WEST, State: 1
Timestamp: 2025-10-28 17:54:25.469918, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:54:25.547383, Type: Key, Code: BTN_WEST, State: 1
Timestamp: 2025-10-28 17:54:26.879645, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:54:26.896627, Type: Absolute, Code: ABS_HAT0Y, State: 1
Timestamp: 2025-10-28 17:54:27.828977, Type: Absolute, Code: ABS_HAT0Y, State: 1
Timestamp: 2025-10-28 17:54:27.924423, Type: Absolute, Code: ABS_HAT0Y, State: -1
Timestamp: 2025-10-28 17:54:27.924423, Type: Absolute, Code: ABS_HAT0X, State: -1
Timestamp: 2025-10-28 17:54:28.512374, Type: Key, Code: BTN_EAST, State: 1
Timestamp: 2025-10-28 17:54:28.770810, Type: Absolute, Code: ABS_HAT0X, State: 1
Timestamp: 2025-10-28 17:54:29.153986, Type: Absolute, Code: ABS_HAT0X, State: -1
